"Timestamp","CAF","Ghana","Guinea","Inland_Africa","Inland_Angola","Offshore_Africa","Offshore_Angola","Warri","pc_CAF","pc_Ghana","pc_Guinea","pc_Inland_Africa","pc_Inland_Angola","pc_Offshore_Africa","pc_Offshore_Angola","pc_Warri"
"20/07/2011 03:00 UTC",0.0,0.0,0.0,0.0032075835480055419,1.3102160062393287e-05,0.00037759005509926128,0.0012126899517975996,4.2002449999999999e-09,0.0,0.0,0.0,66.672284477706327,0.27233926408417231,7.8485224758009187,25.206766476832492,8.7305576090197524e-05
"20/07/2011 06:00 UTC",0.0,0.0,0.0,0.0030585221255492504,1.4440651246345863e-05,0.00030585493907868487,0.0012483333242246011,2.8059966671677232e-08,0.0,0.0,0.0,66.099065097910739,0.31208325707862228,6.6099654338936613,26.978279794852028,0.0006064162649610798
"20/07/2011 09:00 UTC",0.0,0.0,0.0,0.0029394743325590325,1.7091630363458842e-05,0.00026725804877196301,0.0011966684518621463,8.934819894312021e-08,0.0,0.0,0.0,66.495191305862988,0.38663757603145121,6.0457663753954369,27.070383556297408,0.0020211864127368659
"20/07/2011 12:00 UTC",0.0,0.0,0.0,0.002878440096894589,2.31923205237507e-05,0.00026186175245196993,0.0010844026784657427,5.4756483243369436e-08,0.0,0.0,0.0,67.760661247388086,0.54596480095109934,6.1644240992502857,25.5276608432989,0.001289009111620958
"20/07/2011 15:00 UTC",0.0,0.0,0.0,0.0028961642035885702,2.434696323655364e-05,0.00026880476702589488,0.0010236140086941736,1.4405621236069236e-07,0.0,0.0,0.0,68.742305604949195,0.57789070981743085,6.380252687352896,24.296131731748368,0.0034192661321205122
"20/07/2011 18:00 UTC",0.0,0.0,0.0,0.0030577301253480985,2.266497348976492e-05,0.00026878912181909438,0.0011032339800200856,1.2640048825618566e-07,0.0,0.0,0.0,68.67376745755324,0.50903417079377822,6.0367530456348071,24.777606488913158,0.0028388371050366281
"20/07/2011 21:00 UTC",0.0,0.0,0.0,0.0032264630914848823,1.6123361537093538e-05,0.00034362649412242362,0.0012728952116026942,1.0387598414858838e-07,0.0,0.0,0.0,66.398894891264703,0.33181020753677204,7.0716505405887116,26.19550664808758,0.0021377125222388788
"20/07/2011 00:00 UTC",0.0,0.0,0.0,0.0028530356166599391,1.1961435143254372e-05,0.00035466777832388415,0.001590432869456943,0.0,0.0,0.0,0.0,59.313465023936438,0.24867343431067532,7.3734007181300285,33.064460823622866,0.0
"21/07/2011 03:00 UTC",0.0,0.0,0.0,0.0031115456204305076,1.329277859477412e-05,0.00054098443041250067,0.0014824637258817619,1.5952428853902422e-07,0.0,0.0,0.0,60.43659722405733,0.25819010997170644,10.50772256419712,28.79439160785795,0.0030984939158801043
"21/07/2011 06:00 UTC",0.0,0.0,0.0,0.0031010833850266479,1.2875725527831549e-05,0.0005391604842426899,0.0013861050734256259,3.7058829495478061e-07,0.0,0.0,0.0,61.534373837184475,0.25549126214410312,10.698487811008022,27.504293556768573,0.00735353289483904
"21/07/2011 09:00 UTC",0.0,0.0,0.0,0.0031007221518916041,1.2667781886632309e-05,0.00049760082172117586,0.0012642285445800192,1.7765060937952126e-07,0.0,0.0,0.0,63.599378332743242,0.25983077921157927,10.206365281720771,25.930781787960981,0.0036438183634344328
"21/07/2011 12:00 UTC",0.0,0.0,0.0,0.003107226178798236,1.8046504029272874e-05,0.00045981318822066117,0.0011240421465220527,2.9833554565999356e-07,0.0,0.0,0.0,65.978867611814579,0.38319962297176219,9.7636772240091716,23.867920681642175,0.0063348595623033107
"21/07/2011 15:00 UTC",0.0,0.0,0.0,0.0031399823563342624,1.8016014289026269e-05,0.00045149202917278111,0.0010729915169654354,1.1502004268086528e-07,0.0,0.0,0.0,67.056430410541807,0.38474407539594835,9.6419152719328167,22.914453911929876,0.0024563301995273804
"21/07/2011 18:00 UTC",0.0,0.0,0.0,0.0033184167456749868,8.398226773104091e-06,0.00053989597548117303,0.0012135311641404745,5.7546094224074701e-07,0.0,0.0,0.0,65.312652894714802,0.16529282251174204,10.626163362939149,23.884564771355809,0.0113261484784939
"21/07/2011 21:00 UTC",0.0,0.0,0.0,0.003359228639952709,7.4310743384997687e-06,0.00069769845794240498,0.0015601792714296232,1.3195187898155118e-06,0.0,0.0,0.0,59.71052343442409,0.13208786480166007,12.401638765415505,27.732295396812496,0.023454538546251267
"21/07/2011 00:00 UTC",0.0,0.0,0.0,0.0027099470273776443,1.2566656283937969e-05,0.00065130507554863085,0.0021034334754764599,3.1065227068724286e-08,0.0,0.0,0.0,49.4761157857276,0.22943228596804319,11.891024069521617,38.402860693906149,0.00056716487659518196
"22/07/2011 03:00 UTC",0.0,0.0,0.0,0.003170509167612134,2.1572108353802479e-05,0.00064491210403134678,0.0019131157049146631,1.1193022367158753e-06,0.0,0.0,0.0,55.127512840504764,0.37508697102007243,11.213467117258416,33.264471103070655,0.019461968146092034
"22/07/2011 06:00 UTC",0.0,0.0,0.0,0.0032387463182176552,2.2385112614756411e-05,0.00046052789543502817,0.0017277851896932478,1.036914866410435e-06,0.0,0.0,0.0,59.42128891403604,0.41069973173653251,8.4493067498652881,31.699680324038098,0.019024280324042596
"22/07/2011 09:00 UTC",0.0,0.0,0.0,0.0032376430774693253,3.0647753549900606e-05,0.00031119953339076901,0.0016258914473392286,3.9644172489248566e-07,0.0,0.0,0.0,62.193257565449699,0.58872568245579038,5.9779636826268518,31.232437652413982,0.0076154170536925445
