"Timestamp","andaman_sea","Arabian_sea","asia","beijing_a","beijing_b","East_China_sea","East_China","hebei_a","hebei_b","hong","india","kazakhstan","korea","Liaoning","mid-china","mongolia","nepal","North_Pacific_ocean","Russia","South_China_sea","South_China","Tianjin","waliguan","west_China","pc_andaman_sea","pc_Arabian_sea","pc_asia","pc_beijing_a","pc_beijing_b","pc_East_China_sea","pc_East_China","pc_hebei_a","pc_hebei_b","pc_hong","pc_india","pc_kazakhstan","pc_korea","pc_Liaoning","pc_mid-china","pc_mongolia","pc_nepal","pc_North_Pacific_ocean","pc_Russia","pc_South_China_sea","pc_South_China","pc_Tianjin","pc_waliguan","pc_west_China"
"27/10/2016 00:00 UTC",0.0,0.0,0.0,0.00032764632839835068,0.00020557156291760694,2.5430325763375918e-08,0.0,0.0013292514812676332,0.00029539188224734597,0.0,0.0,5.9681359163300565e-06,0.0,0.0,4.7689269961791728e-05,0.00078917706761362527,0.0,0.0,0.00085821395213675033,0.0,4.1347109657042752e-07,8.2962456944482275e-05,0.00050279837292483353,4.0194378566602123e-06,0.0,0.0,0.0,7.3642805024007689,4.6204902098021075,0.00057157988952417004,0.0,29.87666858389202,6.6393195664222926,0.0,0.0,0.13414167397863147,0.0,0.0,1.071878823334061,17.737788548947126,0.0,0.0,19.28948297850296,0.0,0.0092933046119102868,1.8646899145615132,11.301052181690864,0.090342131966229408
"27/10/2016 03:00 UTC",0.0,0.0,0.0,0.00018956360548331484,0.00011106319523519676,3.0516392051381058e-08,0.0,0.0011263600498686347,0.00016454149313755345,0.0,0.0,1.8735221746683468e-06,0.0,0.0,9.7052815268858247e-05,0.00077828685180510214,0.0,0.0,0.00071435110289853616,0.0,4.7275102335209196e-06,3.5750991807971785e-05,0.00050821216106218254,9.0569935495649668e-06,0.0,0.0,0.0,5.0673657329050217,2.9689128790669321,0.00081575637358656679,0.0,30.109568263723986,4.3984810366969649,0.0,0.0,0.050082514750373383,0.0,0.0,2.5943909914641359,20.804964714362523,0.0,0.0,19.095850655834717,0.0,0.12637459230754242,0.95568635310130845,13.585397278375705,0.24210923103721491
"27/10/2016 06:00 UTC",0.0,0.0,0.0,0.00014824921582512625,6.26461073740214e-05,4.4299402596834867e-08,4.8515321336324349e-09,0.0010481679280098148,8.8265431792598214e-05,0.0,0.0,1.1532396652175672e-06,0.0,1.9125686366509652e-08,0.00015807550834058247,0.00077427657806158207,0.0,0.0,0.00054024511344334235,0.0,2.2511204358326124e-05,1.7139398344052357e-05,0.00055357884934760916,1.9825105601392638e-05,0.0,0.0,0.0,4.3168461753461669,1.8241823912031427,0.0012899475090367061,0.0001412710200123068,30.521441114987645,2.5701875691444727,0.0,0.0,0.033581008913560702,0.0,0.00055691792757627694,4.6029764798276185,22.546040908627596,0.0,0.0,15.731314588998179,0.0,0.65550030666810322,0.49907951133132972,16.119577599504133,0.57728420899141575
"27/10/2016 09:00 UTC",0.0,0.0,0.0,0.00015920531842423977,5.7986267864279562e-05,1.3428738295284907e-07,8.1647861258718302e-08,0.0011298805299817022,7.4516936232519614e-05,0.0,0.0,7.7039036582157416e-07,0.0,1.0174231066800036e-07,0.00017784409663181494,0.00074328241334062307,0.0,0.0,0.00050920868037806013,0.0,5.692930775529317e-05,3.5916716705354678e-05,0.0005639254739900595,2.5703702087723853e-05,0.0,0.0,0.0,4.5030655012876242,1.6401208511907623,0.0037982706069014417,0.0023093805591866069,31.95826675575757,2.1076848947730822,0.0,0.0,0.021790216012829461,0.0,0.0028777448751398263,5.0302566778350544,21.023477270457587,0.0,0.0,14.402785436202606,0.0,1.6102251124671922,1.0158914885269221,15.950430377301222,0.72702002214632777
"27/10/2016 12:00 UTC",0.0,0.0,0.0,0.00031621312041156042,0.000189904104908422,4.2749288459872731e-07,4.3709148542602744e-07,0.0016935518367176823,0.00023383598792705773,0.0,0.0,5.6054940429787018e-07,0.0,2.0312944898647554e-07,0.00018351849695099091,0.00075242685651606212,0.0,0.0,0.00046815139676065237,0.0,0.00010337969303848246,0.00015301254906360394,0.00057319654512057053,2.30626477794899e-05,0.0,0.0,0.0,6.7395802839050489,4.0475042895362616,0.0091113316639151957,0.0093159105909519681,36.095366800903932,4.9838425801228778,0.0,0.0,0.011947219990251017,0.0,0.004329381487042489,3.9114052009385558,16.036783042576477,0.0,0.0,9.9779032551976101,0.0,2.2033739145658822,3.2612193874717477,12.216773703978975,0.49154369707049717
"27/10/2016 15:00 UTC",0.0,0.0,0.0,0.00039313705477778897,0.00026779952627846773,1.173908106774588e-06,3.3622601051914402e-07,0.0020376771939719504,0.00033739120115941983,0.0,0.0,4.7012359427406751e-07,0.0,2.3557179494964525e-07,0.00019996174363638545,0.00073014222536159573,0.0,0.0,0.00041458322663133203,0.0,0.0001646617730250222,0.00019678639385056995,0.00058554366818124514,2.8446798365787121e-05,0.0,0.0,0.0,7.3369097144350501,4.9978014587919253,0.02190802847957626,0.0062748088811368369,38.028095845063042,6.2965542201322684,0.0,0.0,0.008773668937831703,0.0,0.0043963522893813002,3.7317806642022346,13.626259649329223,0.0,0.0,7.7371483200242412,0.0,3.0729959117851107,3.6725207842007239,10.927692963801555,0.53088760964668602
"27/10/2016 18:00 UTC",0.0,0.0,0.0,0.00043953688860594786,0.00030958060071950501,1.9774804659225513e-06,6.3734714327310167e-07,0.0022424873043484705,0.00041447757643493988,0.0,0.0,6.6344400257370264e-07,0.0,3.5390487266237612e-07,0.00023368687559104255,0.00073340608939864574,0.0,0.0,0.00034478110409660292,0.0,0.00020197436373978124,0.00023338035113634455,0.00063872067418282422,4.2469041304391056e-05,0.0,0.0,0.0,7.5287233973515724,5.3027328818643156,0.033871795149699145,0.010916968459721796,38.411034600666099,7.0994883666769439,0.0,0.0,0.011363975389758949,0.0,0.0060619528515584616,4.0027672159584471,12.562339426227135,0.0,0.0,5.9056739779216709,0.0,3.4595711017014077,3.997516831078888,10.940495345780919,0.72744216292186892
"27/10/2016 21:00 UTC",0.0,0.0,0.0,0.00048649167257777085,0.00032632334863078835,3.0918198105178046e-06,3.2904922992523127e-06,0.0024645399337463081,0.00044015204197956167,0.0,0.0,1.1915653036577492e-06,0.0,1.3964111838500127e-06,0.00026497631395287037,0.00075982081109584514,0.0,0.0,0.00027872680287851441,0.0,0.00023550495510788415,0.00023935435709900293,0.00072788958671799494,6.2001242451216091e-05,0.0,0.0,0.0,7.7285288195552608,5.1840546232241174,0.049117425553957109,0.052273586576614614,39.152299984864072,6.9923658166653153,0.0,0.0,0.018929505495757209,0.0,0.02218373856462847,4.2094802322786045,12.070704119428363,0.0,0.0,4.4279239507120929,0.0,3.7412908283818305,3.8024433946092806,11.563436674252413,0.9849672998377067
"28/10/2016 00:00 UTC",0.0,0.0,0.0,0.00037892605308289287,0.00022626398426736606,7.1941920197200877e-06,1.3826960391897896e-05,0.0020076731417911489,0.00024460266974741921,0.0,0.0,2.2460848203369052e-06,0.0,4.5732736102394093e-06,0.00030662562971924294,0.00093307523783207782,0.0,0.0,0.00019785494344925792,0.0,0.00026544794486039525,0.00014642936774438811,0.00092712118093786998,8.7480658167779442e-05,0.0,0.0,0.0,6.5907733048269277,3.9354766324998853,0.12513071700297584,0.24049642587622364,34.920054823573942,4.2544468318942013,0.0,0.0,0.039066819908039147,0.0,0.07954430523002784,5.3332305828209847,16.229254544166707,0.0,0.0,3.4413497538743982,0.0,4.6170148887185265,2.5468894527589514,16.125693865468321,1.521577051379897
"28/10/2016 03:00 UTC",0.0,0.0,0.0,0.00022670458359559681,9.7455732659547175e-05,8.0642411460645284e-06,2.0007382678133932e-05,0.0013907427961043948,8.2352221562512667e-05,0.0,0.0,2.2483875036164622e-05,0.0,6.2536430849411965e-06,0.00032389774404617024,0.0012745040914472331,0.0,0.0,0.0001465386731164733,0.0,0.00022997124619451398,6.1426755742386848e-05,0.00095721286888394454,0.00010665436919881127,0.0,0.0,0.0,4.5759430415126152,1.9671057137268668,0.16277354243194234,0.40384116674147907,28.071597492355721,1.6622472701491693,0.0,0.0,0.45382819299986571,0.0,0.12622733120247312,6.53774883825725,25.725364860909668,0.0,0.0,2.9578256024852667,0.0,4.6418793439525752,1.2398749555213209,19.320966065817501,2.1527765819362852
