"Timestamp","CAF","Ghana","Guinea","Inland_Angola","Offshore_Angola","Warri","pc_CAF","pc_Ghana","pc_Guinea","pc_Inland_Angola","pc_Offshore_Angola","pc_Warri"
"20/07/2011 03:00 UTC",0.0,0.0,0.0,1.3102170141170588e-05,0.0012126899517975996,4.2002449999999999e-09,0.0,0.0,0.0,1.0688700809469651,98.93078726465572,0.00034265439730780191
"20/07/2011 06:00 UTC",0.0,0.0,0.0,1.4440663168447841e-05,0.0012483333242246013,2.8059966671677232e-08,0.0,0.0,0.0,1.1435413173933733,98.85423664260199,0.0022220400046345577
"20/07/2011 09:00 UTC",0.0,0.0,0.0,1.7091646165444406e-05,0.0011966684518621463,8.9348198943120197e-08,0.0,0.0,0.0,1.4080532160373609,98.584586052430325,0.0073607315323061607
"20/07/2011 12:00 UTC",0.0,0.0,0.0,2.3192338183917493e-05,0.0010844026784657427,5.4756483243369443e-08,0.0,0.0,0.0,2.0938331543480317,97.901223362199744,0.0049434834522192762
"20/07/2011 15:00 UTC",0.0,0.0,0.0,2.4346983542769998e-05,0.0010236140086941736,1.4405621236069236e-07,0.0,0.0,0.0,2.3229526065914787,97.663302949321178,0.013744444087339037
"20/07/2011 18:00 UTC",0.0,0.0,0.0,2.2664995535242546e-05,0.0011032339800200856,1.2640048825618566e-07,0.0,0.0,0.0,2.0128316836764846,97.975942948676803,0.011225367646713955
"20/07/2011 21:00 UTC",0.0,0.0,0.0,1.6123371749663101e-05,0.0012728952116026939,1.0387598414858838e-07,0.0,0.0,0.0,1.2507246020646936,98.741217514574714,0.0080578833605964781
"20/07/2011 00:00 UTC",0.0,0.0,0.0,1.1961444538221151e-05,0.001590432869456943,0.0,0.0,0.0,0.0,0.74647322658043636,99.253526773419566,0.0
"21/07/2011 03:00 UTC",0.0,0.0,0.0,1.3292787855949335e-05,0.0014824637258817619,1.5952428853902422e-07,0.0,0.0,0.0,0.88860521032237738,99.100730802897345,0.010663986780267736
"21/07/2011 06:00 UTC",0.0,0.0,0.0,1.2875734982256034e-05,0.0013861050734256261,3.7058829495478061e-07,0.0,0.0,0.0,0.92012163725236884,99.053395501057011,0.026482861690634945
"21/07/2011 09:00 UTC",0.0,0.0,0.0,1.266779251543136e-05,0.0012642285445800189,1.7765060937952126e-07,0.0,0.0,0.0,0.99193880991954453,98.994150436976881,0.01391075310356894
"21/07/2011 12:00 UTC",0.0,0.0,0.0,1.8046515713516731e-05,0.0011240421465220527,2.9833554565999356e-07,0.0,0.0,0.0,1.579719985308577,98.394164911294823,0.026115103396609711
"21/07/2011 15:00 UTC",0.0,0.0,0.0,1.8017044274794497e-05,0.0010729915169654354,1.1502004268086528e-07,0.0,0.0,0.0,1.6512377318076648,98.338220836895843,0.010541431296501549
"21/07/2011 18:00 UTC",0.0,0.0,0.0,8.4072959780103037e-06,0.0012135311641404745,5.7546094224074711e-07,0.0,0.0,0.0,0.68770554127642447,99.265222525036194,0.047071933687384354
"21/07/2011 21:00 UTC",0.0,0.0,0.0,7.4310799427740723e-06,0.0015601792714296232,1.3195187898155116e-06,0.0,0.0,0.0,0.47364003223456808,99.442256859340389,0.084103108425049325
"21/07/2011 00:00 UTC",0.0,0.0,0.0,1.2566663196366505e-05,0.0021034334754764599,3.1065227068724286e-08,0.0,0.0,0.0,0.59387891696520589,99.404652993764103,0.0014680892706813748
"22/07/2011 03:00 UTC",0.0,0.0,0.0,2.1573511849586124e-05,0.0019131157049146631,1.1193022367158753e-06,0.0,0.0,0.0,1.1144445144150834,98.827734568602196,0.057820916982715138
"22/07/2011 06:00 UTC",0.0,0.0,0.0,2.2414618490684932e-05,0.001727785189693248,1.036914866410435e-06,0.0,0.0,0.0,1.2799308166426893,98.660858749224559,0.059210434132760385
"22/07/2011 09:00 UTC",0.0,0.0,0.0,3.0698977162802716e-05,0.0016258914473392283,3.9644172489248561e-07,0.0,0.0,0.0,1.8526988830458544,98.123375657255409,0.02392545969873687
"22/07/2011 12:00 UTC",0.0,0.0,0.0,3.3220343905233593e-05,0.0014997492552231066,3.0879822485717053e-08,0.0,0.0,0.0,2.1670145809719084,97.830971080291107,0.0020143387369879343
"22/07/2011 15:00 UTC",0.0,0.0,0.0,3.725020941414197e-05,0.0014547971868827843,0.0,0.0,0.0,0.0,2.4965835205096232,97.503416479490383,0.0
"22/07/2011 18:00 UTC",0.0,0.0,0.0,4.8559769546346121e-05,0.0015859937281943941,0.0,0.0,0.0,0.0,2.9708277895746358,97.029172210425372,0.0
"22/07/2011 21:00 UTC",0.0,0.0,0.0,6.761128532998345e-05,0.0018488521544751386,0.0,0.0,0.0,0.0,3.5279193918178056,96.472080608182196,0.0
"22/07/2011 00:00 UTC",0.0,0.0,0.0,8.0054025419628563e-05,0.0021661237518933348,0.0,0.0,0.0,0.0,3.5640111049177436,96.435988895082261,0.0
"23/07/2011 03:00 UTC",0.0,0.0,0.0,0.000116915097598795,0.0018933084662177643,0.0,0.0,0.0,0.0,5.8160246304556784,94.183975369544328,0.0
"23/07/2011 06:00 UTC",0.0,0.0,0.0,0.00014167496735004664,0.001709441337231492,0.0,0.0,0.0,0.0,7.6534881681609699,92.346511831839024,0.0
"23/07/2011 09:00 UTC",0.0,0.0,0.0,0.00015565067465274222,0.0015014821441469346,0.0,0.0,0.0,0.0,9.3927700234363716,90.607229976563616,0.0
"23/07/2011 12:00 UTC",0.0,0.0,0.0,0.00015645672577350311,0.0012959587588742846,0.0,0.0,0.0,0.0,10.772174176554172,89.227825823445826,0.0
