 NAME III (version 6.5)                                          
 Run name:                   Flight7_0256
 Run time:                   01/08/2016 05:30:37.553 UTC+01:00
 Met data:                   NWP Flow.Global_Mk9_PT1 Flow; NWP Flow.Global_Mk9_PT2 Flow; NWP Flow.Global_Mk9_PT3 Flow; NWP Flow.Global_Mk9_PT4 Flow; NWP Flow.Global_Mk9_PT5 Flow; NWP Flow.Global_Mk9_PT6 Flow; NWP Flow.Global_Mk9_PT7 Flow; NWP Flow.Global_Mk9_PT8 Flow; NWP Flow.Global_Mk9_PT9 Flow; NWP Flow.Global_Mk9_PT10 Flow; NWP Flow.Global_Mk9_PT11 Flow; NWP Flow.Global_Mk9_PT12 Flow; NWP Flow.Global_Mk9_PT13 Flow; NWP Flow.Global_Mk9_PT14 Flow
 Start of release:           07/12/2015 20:46 UTC
 End of release:             07/12/2015 20:45 UTC
 Source strength:            Multiple Sources
 Release location:           Multiple Sources
 Release height:             Multiple Sources
 Run duration:               5day 0hr 1min
 X grid origin:                -203.8750    
 Y grid origin:                -89.87500    
 X grid size:                        1432
 Y grid size:                         200
 X grid resolution:            0.2500000    
 Y grid resolution:            0.2500000    
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                     INERT,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                   TRACER1,
                        ,                        ,                        ,                        ,                 g s / m^3,
                        ,                        ,                        ,                        ,                       low,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,    5day 0hr 0min integral,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,      02/12/2015 20:45 UTC,
                        ,                        ,                        ,                        ,        Z = 100.0000 m agl,
                        ,                        ,                        ,                        ,                          ,
                 X Index,                 Y Index,            X (Lat-Long),            Y (Lat-Long),                          ,
                     738,                     143,               -19.62500,               -54.37500,             9.5967145E-10,
                     741,                     128,               -18.87500,               -58.12500,             2.6463767E-10,
                     741,                     129,               -18.87500,               -57.87500,             5.2559074E-10,
                     744,                     128,               -18.12500,               -58.12500,             7.9391299E-10,
                     744,                     143,               -18.12500,               -54.37500,             2.3991786E-10,
                     744,                     145,               -18.12500,               -53.87500,             7.1111483E-10,
                     745,                     145,               -17.87500,               -53.87500,             2.3703828E-10,
                     745,                     149,               -17.87500,               -52.87500,             2.3153399E-10,
                     746,                     127,               -17.62500,               -58.37500,             2.6651292E-10,
                     746,                     128,               -17.62500,               -58.12500,             7.9391299E-10,
                     746,                     149,               -17.62500,               -52.87500,             2.3153399E-10,
                     747,                     128,               -17.37500,               -58.12500,             2.6463767E-10,
                     747,                     129,               -17.37500,               -57.87500,             1.3139768E-09,
                     747,                     145,               -17.37500,               -53.87500,             2.3703828E-10,
                     748,                     133,               -17.12500,               -56.87500,             2.5572688E-10,
                     748,                     134,               -17.12500,               -56.62500,             5.0807536E-10,
                     748,                     135,               -17.12500,               -56.37500,             5.0471649E-10,
                     748,                     143,               -17.12500,               -54.37500,             2.3991786E-10,
                     748,                     145,               -17.12500,               -53.87500,             2.3703828E-10,
                     748,                     188,               -17.12500,               -43.12500,             1.9147088E-10,
                     749,                     133,               -16.87500,               -56.87500,             1.0229075E-09,
                     749,                     142,               -16.87500,               -54.62500,             4.8277948E-10,
                     749,                     148,               -16.87500,               -53.12500,             2.3288863E-10,
                     749,                     187,               -16.87500,               -43.37500,             1.9225894E-10,
                     750,                     133,               -16.62500,               -56.87500,             5.1145377E-10,
                     750,                     140,               -16.62500,               -55.12500,             4.8881182E-10,
                     750,                     141,               -16.62500,               -54.87500,             7.2865686E-10,
                     750,                     142,               -16.62500,               -54.62500,             4.8277948E-10,
                     750,                     148,               -16.62500,               -53.12500,             2.3288863E-10,
                     751,                     122,               -16.37500,               -59.62500,             8.2910878E-10,
                     751,                     136,               -16.37500,               -56.12500,             5.0143856E-10,
                     751,                     140,               -16.37500,               -55.12500,             4.8881182E-10,
                     752,                     122,               -16.12500,               -59.62500,             5.5273919E-10,
                     752,                     131,               -16.12500,               -57.37500,             7.7759948E-10,
                     752,                     136,               -16.12500,               -56.12500,             2.5071928E-10,
                     752,                     143,               -16.12500,               -54.37500,             7.1975359E-10,
                     752,                     185,               -16.12500,               -43.87500,             1.9385833E-10,
                     752,                     186,               -16.12500,               -43.62500,             1.9305715E-10,
                     753,                     121,               -15.87500,               -59.87500,             2.7843061E-10,
                     753,                     135,               -15.87500,               -56.37500,             1.0094330E-09,
                     753,                     142,               -15.87500,               -54.62500,             2.4138974E-10,
                     753,                     194,               -15.87500,               -41.62500,             1.8695354E-10,
                     753,                     195,               -15.87500,               -41.37500,             3.7245731E-10,
                     753,                     196,               -15.87500,               -41.12500,             1.8551942E-10,
