 NAME III (version 6.5)                                          
 Run name:                   Flight7_0407
 Run time:                   02/08/2016 01:23:40.941 UTC+01:00
 Met data:                   NWP Flow.Global_Mk9_PT1 Flow; NWP Flow.Global_Mk9_PT2 Flow; NWP Flow.Global_Mk9_PT3 Flow; NWP Flow.Global_Mk9_PT4 Flow; NWP Flow.Global_Mk9_PT5 Flow; NWP Flow.Global_Mk9_PT6 Flow; NWP Flow.Global_Mk9_PT7 Flow; NWP Flow.Global_Mk9_PT8 Flow; NWP Flow.Global_Mk9_PT9 Flow; NWP Flow.Global_Mk9_PT10 Flow; NWP Flow.Global_Mk9_PT11 Flow; NWP Flow.Global_Mk9_PT12 Flow; NWP Flow.Global_Mk9_PT13 Flow; NWP Flow.Global_Mk9_PT14 Flow
 Start of release:           07/12/2015 23:17 UTC
 End of release:             07/12/2015 23:16 UTC
 Source strength:            Multiple Sources
 Release location:           Multiple Sources
 Release height:             Multiple Sources
 Run duration:               5day 0hr 1min
 X grid origin:                -203.8750    
 Y grid origin:                -89.87500    
 X grid size:                        1432
 Y grid size:                         200
 X grid resolution:            0.2500000    
 Y grid resolution:            0.2500000    
 Number of preliminary cols:            4
 Number of field cols:                  1
 
 Fields:
                        ,                        ,                        ,                        ,                     INERT,
                        ,                        ,                        ,                        ,                     Req 1,
                        ,                        ,                        ,                        ,         Air Concentration,
                        ,                        ,                        ,                        ,                   TRACER1,
                        ,                        ,                        ,                        ,                 g s / m^3,
                        ,                        ,                        ,                        ,                       low,
                        ,                        ,                        ,                        ,     No ensemble averaging,
                        ,                        ,                        ,                        ,    5day 0hr 0min integral,
                        ,                        ,                        ,                        ,   No horizontal averaging,
                        ,                        ,                        ,                        ,     No vertical averaging,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,                          ,
                        ,                        ,                        ,                        ,      02/12/2015 23:16 UTC,
                        ,                        ,                        ,                        ,        Z = 100.0000 m agl,
                        ,                        ,                        ,                        ,                          ,
                 X Index,                 Y Index,            X (Lat-Long),            Y (Lat-Long),                          ,
                      14,                      13,               -200.6250,               -86.87500,             2.5639344E-09,
                      18,                      13,               -199.6250,               -86.87500,             2.5639344E-09,
                      39,                      11,               -194.3750,               -87.37500,             3.0510283E-09,
                      52,                      10,               -191.1250,               -87.62500,             3.3729306E-09,
                      69,                      15,               -186.8750,               -86.37500,             2.2104794E-09,
                      87,                      13,               -182.3750,               -86.87500,             2.5639344E-09,
                      92,                      13,               -181.1250,               -86.87500,             2.5639344E-09,
                     166,                       2,               -162.6250,               -89.62500,             2.1357197E-08,
                     655,                       2,               -40.37500,               -89.62500,             2.1357197E-08,
                     697,                     183,               -29.87500,               -44.37500,             1.9551072E-10,
                     698,                     179,               -29.62500,               -45.37500,             1.9893627E-10,
                     700,                       2,               -29.12500,               -89.62500,             2.1357197E-08,
                     700,                     169,               -29.12500,               -47.87500,             2.0833958E-10,
                     701,                     171,               -28.87500,               -47.37500,             2.0636014E-10,
                     702,                     182,               -28.62500,               -44.62500,             1.9635127E-10,
                     703,                     183,               -28.37500,               -44.37500,             1.9551072E-10,
                     705,                     168,               -27.87500,               -48.12500,             2.0935859E-10,
                     705,                     169,               -27.87500,               -47.87500,             2.0833958E-10,
                     705,                     178,               -27.87500,               -45.62500,             1.9982221E-10,
                     706,                     170,               -27.62500,               -47.62500,             2.0734724E-10,
                     706,                     171,               -27.62500,               -47.37500,             4.1272027E-10,
                     706,                     188,               -27.62500,               -43.12500,             1.9147088E-10,
                     706,                     193,               -27.62500,               -41.87500,             1.8767722E-10,
                     708,                     173,               -27.12500,               -46.87500,             2.0443025E-10,
                     708,                     186,               -27.12500,               -43.62500,             1.9305715E-10,
                     709,                     177,               -26.87500,               -45.87500,             2.0072398E-10,
                     710,                     183,               -26.62500,               -44.37500,             1.9551072E-10,
                     710,                     184,               -26.62500,               -44.12500,             1.9468473E-10,
                     711,                     180,               -26.37500,               -45.12500,             1.9806580E-10,
                     711,                     189,               -26.37500,               -42.87500,             1.9069284E-10,
                     711,                     191,               -26.37500,               -42.37500,             1.8916951E-10,
                     713,                     182,               -25.87500,               -44.62500,             1.9635127E-10,
                     719,                     194,               -24.37500,               -41.62500,             1.8695354E-10,
                     724,                      68,               -23.12500,               -73.12500,             4.8139376E-10,
                     724,                      70,               -23.12500,               -72.62500,             4.6796111E-10,
                     724,                     194,               -23.12500,               -41.62500,             1.8695354E-10,
                     725,                      69,               -22.87500,               -72.87500,             9.4920882E-10,
                     725,                     193,               -22.87500,               -41.87500,             1.8767722E-10,
                     726,                      69,               -22.62500,               -72.87500,             1.4238132E-09,
                     726,                      70,               -22.62500,               -72.62500,             4.6796111E-10,
                     727,                      69,               -22.37500,               -72.87500,             9.4920882E-10,
                     727,                      70,               -22.37500,               -72.62500,             4.6796111E-10,
                     727,                     194,               -22.37500,               -41.62500,             1.8695354E-10,
                     728,                      70,               -22.12500,               -72.62500,             9.3592223E-10,
